30,4244,4269,4294,4319,4344,4369,4394,4419,4445,4469
29,4006,4030,4053,4077,4101,4124,4148,4172,4196,4219
28,3781,3803,3826,3848,3871,3894,3916,3939,3961,3984
27,3566,3588,3609,3631,3652,3674,3695,3737,3793,3759
26,3362,3382,3403,3423,3443,3463,3484,3504,3525,3544
25,3169,3188,3208,3227,3246,3266,3284,3304,3324,3343
24,2985,3003,3021,3040,3059,3077,3095,3114,3132,3151
23,2810,2827,2845,2863,2880,3897,2915,2932,2950,2968
22,2645,2661,2678,2695,2711,2727,2744,2761,2777,2794
21,2487,2504,2518,2535,2551,2566,2582,2598,2613,2629
20,2340,2354,2369,2384,2399,2413,2428,2443,2457,2473
19,2197,2212,2227,2241,2254,2268,2283,2297,2310,2324
18,2065,2079,2091,2105,2119,2132,2145,2158,2172,2185
17,1937,1950,1963,1976,1988,2001,2014,2027,2039,2052
16,1818,1830,1841,1854,1866,1878,1889,1901,1914,1926
15,1706,1717,1729,1739,1750,1762,1773,1784,1795,1806
14,1599,1610,1621,1631,1642,1653,1663,1674,1684,1695
13,1498,1508,1518,1528,1538,1548,1559,1569,1578,1588
12,1403,1413,1422,1431,1441,1451,1460,1470,1479,1488
11,1312,1321,1330,1340,1349,1358,1367,1375,1385,1394
10,1228,1237,1245,1254,1262,1270,1279,1287,1296,1304
9,1148,1156,1163,1171,1179,1187,1195,1203,1211,1218
8,1073,1081,1088,1096,1103,1110,1117,1125,1133,1140
7,1002,1008,1016,1023,1030,1038,1045,1052,1059,1066
6,935,942,949,955,961,968,945,982,988,955
5,872,878,884,890,896,902,907,913,919,925
4,813,819,825,831,837,843,849,854,861,866
3,759,765,770,776,781,787,793,798,803,808
2,705,710,716,721,727,732,737,743,748,753
1,657,662,667,672,677,682,687,691,696,700
0,611,616,621,626,630,635,640,645,648,653
0,611,605,600,595,592,587,582,577,572,567
-1,562,557,552,547,543,538,534,531,527,522
-2,517,524,509,505,501,496,492,489,484,480
-3,476,472,468,464,461,456,452,448,444,440
-4,437,433,430,426,423,419,415,412,408,405
-5,401,398,395,391,388,385,282,379,375,372
-6,368,365,362,359,356,353,350,347,343,340
-7,337,336,333,330,327,324,321,318,315,312
-8,310,306,304,301,298,296,294,291,288,286
-9,284,281,279,276,274,272,269,267,264,262
-10,260,258,255,253,251,249,246,244,242,239
-11,237,235,233,231,229,228,226,224,221,219
-12,217,215,213,211,209,208,206,204,202,200
-13,198,197,195,193,191,190,188,186,184,182
-14,181,180,178,177,175,173,171,169,168,167
-15,165,164,162,161,159,158,157,155,153,152
-16,150,149,148,146,145,144,142,141,139,138
-17,137,136,135,133,132,131,129,128,127,126
-18,125,124,123,122,121,120,118,117,116,115
-19,114,113,112,111,110,109,107,106,105,104
-20,103,102,102,100,99,98,97,95,95,94
